id,name,type,ordered,laid_down,commissioned,launched,fate,fate_type,fate_survivors,fate_lat,fat_lon,fate_dead,shipyard,ships_sunk
141,U-141,IID,9/25/1939,12/12/1939,8/21/1940,7/27/1940,5/5/1945,Scuttled,0,,,0,"Deutsche Werke AG, Kiel",4
142,U-142,IID,9/25/1939,12/12/1939,9/4/1940,7/27/1940,5/5/1945,Scuttled,0,,,0,"Deutsche Werke AG, Kiel",0
143,U-143,IID,9/25/1939,1/3/1940,9/18/1940,8/10/1940,5/5/1945,Surrendered,0,,,0,"Deutsche Werke AG, Kiel",1
144,U-144,IID,9/25/1939,1/10/1940,10/2/1940,8/24/1940,8/10/1941,Sunk,0,58.58,21.24,28,"Deutsche Werke AG, Kiel",1
145,U-145,IID,9/25/1939,3/29/1940,10/16/1940,9/21/1940,5/5/1945,Surrendered,0,,,0,"Deutsche Werke AG, Kiel",0
146,U-146,IID,9/25/1939,3/30/1940,10/30/1940,9/21/1940,5/5/1945,Scuttled,0,,,0,"Deutsche Werke AG, Kiel",1
147,U-147,IID,9/25/1939,4/10/1940,12/11/1940,11/16/1940,6/2/1941,Sunk,0,56.38,-10.24,26,"Deutsche Werke AG, Kiel",2
148,U-148,IID,9/25/1939,4/10/1940,12/28/1940,11/16/1940,5/5/1945,Scuttled,0,,,0,"Deutsche Werke AG, Kiel",0
149,U-149,IID,9/25/1939,5/25/1940,11/13/1940,10/19/1940,5/5/1945,Surrendered,0,,,0,"Deutsche Werke AG, Kiel",1
150,U-150,IID,9/25/1939,5/25/1940,11/27/1940,10/19/1940,5/5/1945,Surrendered,0,,,0,"Deutsche Werke AG, Kiel",0
151,U-151,IID,9/25/1939,7/6/1940,1/15/1941,12/14/1940,5/5/1945,Scuttled,0,,,0,"Deutsche Werke AG, Kiel",0
152,U-152,IID,9/25/1939,7/6/1940,1/29/1941,12/14/1940,5/5/1945,Scuttled,0,,,0,"Deutsche Werke AG, Kiel",0
153,U-153,IXC,9/25/1939,9/12/1940,7/19/1941,4/5/1941,7/6/1942,Sunk,0,12.50,-72.20,52,"AG Weser, Bremen",3
154,U-154,IXC,9/25/1939,9/21/1940,8/2/1941,4/21/1941,7/3/1944,Sunk,0,34.00,-19.30,57,"AG Weser, Bremen",10
155,U-155,IXC,9/25/1939,10/1/1940,8/23/1941,5/12/1941,5/5/1945,Surrendered,0,,,0,"AG Weser, Bremen",25
156,U-156,IXC,9/25/1939,10/11/1940,9/4/1941,5/21/1941,3/8/1943,Sunk,0,12.38,-54.39,53,"AG Weser, Bremen",19
157,U-157,IXC,9/25/1939,10/21/1940,9/15/1941,6/5/1941,6/13/1942,Sunk,0,24.13,-82.03,52,"AG Weser, Bremen",1
158,U-158,IXC,9/25/1939,11/1/1940,9/25/1941,6/21/1941,6/30/1942,Sunk,0,32.50,-67.28,54,"AG Weser, Bremen",17
159,U-159,IXC,12/23/1939,11/11/1940,10/4/1941,7/1/1941,7/28/1943,Sunk,0,15.57,-68.30,53,"AG Weser, Bremen",23
160,U-160,IXC,12/23/1939,11/21/1940,10/16/1941,7/12/1941,7/14/1943,Sunk,0,33.54,-27.13,57,"AG Weser, Bremen",26
161,U-161,IXC,9/25/1939,3/23/1940,7/8/1941,3/1/1941,9/27/1943,Sunk,0,-12.30,-35.35,53,"Deutsche Schiff und Maschinenbau AG, Bremen",12
162,U-162,IXC,9/25/1939,4/19/1940,9/9/1941,3/1/1941,9/3/1942,Sunk,49,12.21,-59.29,2,"Deutsche Schiff und Maschinenbau AG, Bremen",14
163,U-163,IXC,9/25/1939,5/8/1940,10/21/1941,5/1/1941,3/13/1943,Sunk,0,45.05,-15.00,57,"Deutsche Schiff und Maschinenbau AG, Bremen",3
164,U-164,IXC,9/25/1939,6/20/1940,11/28/1941,5/1/1941,1/6/1943,Sunk,2,-1.58,-39.22,54,"Deutsche Schiff und Maschinenbau AG, Bremen",3
165,U-165,IXC,9/25/1939,8/30/1940,2/3/1942,8/15/1941,9/27/1942,Sunk,0,47.00,-5.30,51,"Deutsche Schiff und Maschinenbau AG, Bremen",2
166,U-166,IXC,9/25/1939,12/6/1940,3/23/1942,11/1/1941,7/30/1942,Sunk,0,28.40,-88.30,52,"Deutsche Schiff und Maschinenbau AG, Bremen",4
167,U-167,IXC/40,8/15/1940,3/12/1941,7/4/1942,3/5/1942,4/6/1943,Scuttled,50,27.47,-15.00,0,"Deutsche Schiff und Maschinenbau AG, Bremen",1
168,U-168,IXC/40,8/15/1940,3/15/1941,9/10/1942,3/5/1942,10/6/1944,Sunk,27,-6.20,111.28,23,"Deutsche Schiff und Maschinenbau AG, Bremen",2
